"filename", "language", "JSON", "JavaScript", "Rust", "Markdown", "C++", "HTML", "PostCSS", "Svelte", "JSON with Comments", "XML", "MS SQL", "comment", "blank", "total"
"d:\Dev\Projects\Grimoire\src\lib\styles\new-item-row.css", "PostCSS", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"d:\Dev\Projects\Grimoire\src\lib\styles\note-footer.css", "PostCSS", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 10, 85
"d:\Dev\Projects\Grimoire\src\lib\styles\note-list.css", "PostCSS", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 12, 82
"d:\Dev\Projects\Grimoire\src\lib\styles\note-properties.css", "PostCSS", 0, 0, 0, 0, 0, 0, 149, 0, 0, 0, 0, 0, 25, 174
"d:\Dev\Projects\Grimoire\src\lib\styles\panel-header.css", "PostCSS", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 8, 65
"d:\Dev\Projects\Grimoire\src\lib\styles\password-modal.css", "PostCSS", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 14, 108
"d:\Dev\Projects\Grimoire\src\lib\styles\quick-switcher.css", "PostCSS", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 9, 78
"d:\Dev\Projects\Grimoire\src\lib\styles\reset.css", "PostCSS", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"d:\Dev\Projects\Grimoire\src\lib\styles\search.css", "PostCSS", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 6, 29, 189
"d:\Dev\Projects\Grimoire\src\lib\styles\seed-btn.css", "PostCSS", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"d:\Dev\Projects\Grimoire\src\lib\styles\settings-wikipedia.css", "PostCSS", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 1, 24, 151
"d:\Dev\Projects\Grimoire\src\lib\styles\settings.css", "PostCSS", 0, 0, 0, 0, 0, 0, 400, 0, 0, 0, 0, 10, 78, 488
"d:\Dev\Projects\Grimoire\src\lib\styles\sidebar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 18, 147
"d:\Dev\Projects\Grimoire\src\lib\styles\sort-select.css", "PostCSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\Dev\Projects\Grimoire\src\lib\styles\tabs.css", "PostCSS", 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 18, 162
"d:\Dev\Projects\Grimoire\src\lib\styles\tag-browser.css", "PostCSS", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 10, 79
"d:\Dev\Projects\Grimoire\src\lib\styles\tags.css", "PostCSS", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"d:\Dev\Projects\Grimoire\src\lib\styles\templates.css", "PostCSS", 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 1, 36, 252
"d:\Dev\Projects\Grimoire\src\lib\styles\themes\theme-defaults.css", "PostCSS", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 13, 96
"d:\Dev\Projects\Grimoire\src\lib\styles\themes\theme-matrix.css", "PostCSS", 0, 0, 0, 0, 0, 0, 161, 0, 0, 0, 0, 3, 29, 193
"d:\Dev\Projects\Grimoire\src\lib\styles\themes\theme-spellbook.css", "PostCSS", 0, 0, 0, 0, 0, 0, 373, 0, 0, 0, 0, 3, 58, 434
"d:\Dev\Projects\Grimoire\src\lib\styles\titlebar.css", "PostCSS", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 13, 105
"d:\Dev\Projects\Grimoire\src\lib\styles\variables.css", "PostCSS", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"d:\Dev\Projects\Grimoire\src\lib\utils\autofocus.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 11
"d:\Dev\Projects\Grimoire\src\lib\utils\diff.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 16, 175
"d:\Dev\Projects\Grimoire\src\lib\utils\featureGuide.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\Dev\Projects\Grimoire\src\lib\utils\focusTrap.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 12, 105
"d:\Dev\Projects\Grimoire\src\lib\utils\folderTree.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 31
"d:\Dev\Projects\Grimoire\src\main.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 4, 27
"d:\Dev\Projects\Grimoire\svelte.config.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3
"d:\Dev\Projects\Grimoire\vendor\zim-rs\.cargo_vcs_info.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Dev\Projects\Grimoire\vendor\zim-rs\README.md", "Markdown", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\archive.rs", "Rust", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40, 195
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\blob.rs", "Rust", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 12, 8, 60
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\cxx.rs", "Rust", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\entry.rs", "Rust", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 59
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\item.rs", "Rust", 0, 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 101
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\lib.rs", "Rust", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\search.rs", "Rust", 0, 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 175
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\suggestion.rs", "Rust", 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 188
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\test.rs", "Rust", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"d:\Dev\Projects\Grimoire\vendor\zim-rs\src\uuid.rs", "Rust", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 53
"d:\Dev\Projects\Grimoire\vendor\zim-sys\.cargo_vcs_info.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Dev\Projects\Grimoire\vendor\zim-sys\README.md", "Markdown", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"d:\Dev\Projects\Grimoire\vendor\zim-sys\build.rs", "Rust", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 83
"d:\Dev\Projects\Grimoire\vendor\zim-sys\src\binding.rs", "Rust", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 14, 21, 157
"d:\Dev\Projects\Grimoire\vendor\zim-sys\src\lib.rs", "Rust", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Dev\Projects\Grimoire\vendor\zim-sys\src\test.rs", "Rust", 0, 0, 191, 0, 0, 0, 0, 0, 0, 0, 0, 16, 60, 267
"d:\Dev\Projects\Grimoire\vendor\zim-sys\zim-bind.cc", "C++", 0, 0, 0, 0, 496, 0, 0, 0, 0, 0, 0, 27, 42, 565
"d:\Dev\Projects\Grimoire\vendor\zim-sys\zim-bind.h", "C++", 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 15, 25, 147
"d:\Dev\Projects\Grimoire\vite.config.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 1604, 1197, 6754, 61, 603, 24, 4774, 7023, 16, 35, 139, 2120, 2999, 27349
